Choice_ID,Complexity,Duration,Improvement_Plan,Question_ID,Risk
cost_cloud_financial_management_budget_forecast,Low,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/cost_cloud_financial_management_budget_forecast.html,cloud-financial-management,High
cost_select_service_licensing,Medium,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/cost_select_service_licensing.html,select-service,Medium
rel_testing_resiliency_rca_resiliency,Medium,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/rel_testing_resiliency_rca_resiliency.html,testing-resiliency,High
perf_continue_having_appropriate_resource_type_evolve,Medium,High,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_continue_having_appropriate_resource_type_evolve.html,continue-having-appropriate-resource-type,Medium
perf_process_culture_workload_performance,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_process_culture_workload_performance.html,process-culture,Medium
ops_ops_model_def_proc_owners,Medium,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_ops_model_def_proc_owners.html,ops-model,High
sec_appsec_deploy_software_programmatically,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_appsec_deploy_software_programmatically.html,application-security,High
sec_data_classification_auto_classification,High,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_data_classification_auto_classification.html,data-classification,Low
perf_data_access_patterns_caching,High,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_data_access_patterns_caching.html,data-management,Medium
ops_mit_deploy_risks_test_val_chg,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_mit_deploy_risks_test_val_chg.html,mit-deploy-risks,High
perf_performing_architecture_cost,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_performing_architecture_cost.html,performing-architecture,Medium
rel_fault_isolation_multiaz_region_system,High,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/rel_fault_isolation_multiaz_region_system.html,fault-isolation,High
sec_protect_data_transit_auto_unintended_access,High,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_protect_data_transit_auto_unintended_access.html,protect-data-transit,Low
rel_monitor_aws_resources_notification_aggregation,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/rel_monitor_aws_resources_notification_aggregation.html,monitor-aws-resources,High
cost_decomissioning_resources_data_retention,Low,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/cost_decomissioning_resources_data_retention.html,decomissioning-resources,Medium
ops_workload_observability_analyze_workload_logs,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_workload_observability_analyze_workload_logs.html,workload-observability,Medium
rel_prevent_interaction_failure_loosely_coupled_system,High,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/rel_prevent_interaction_failure_loosely_coupled_system.html,prevent-interaction-failure,Medium
cost_govern_usage_account_structure,Medium,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/cost_govern_usage_account_structure.html,govern-usage,High
cost_select_service_requirements,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/cost_select_service_requirements.html,select-service,High
sus_sus_data_a4,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sus_sus_data_a4.html,sus_data,Medium
cost_type_size_number_resources_data,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/cost_type_size_number_resources_data.html,type-size-number-resources,Low
sec_detect_investigate_events_logs,High,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_detect_investigate_events_logs.html,detect-investigate-events,Medium
perf_right_database_solution_collect_metrics,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_right_database_solution_collect_metrics.html,right-database-solution,Low
ops_operations_health_ops_outcome_alerts,Medium,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_operations_health_ops_outcome_alerts.html,operations-health,High
perf_process_culture_review_metrics,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_process_culture_review_metrics.html,process-culture,Medium
ops_mit_deploy_risks_test_limited_deploy,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_mit_deploy_risks_test_limited_deploy.html,mit-deploy-risks,Medium
ops_event_response_dashboards,Medium,High,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_event_response_dashboards.html,event-response,Medium
cost_select_service_analyze_all,High,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/cost_select_service_analyze_all.html,select-service,Medium
ops_event_response_auto_event_response,High,High,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_event_response_auto_event_response.html,event-response,Low
perf_networking_choose_network_protocols_improve_performance,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_networking_choose_network_protocols_improve_performance.html,networking,Medium
perf_networking_load_balancing_distribute_traffic,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_networking_load_balancing_distribute_traffic.html,networking,High
